Código AFIP;Descripción;Código contribuyente;Descripción;Marca repetible;Aportes SIPA;Contribuciones SIPA;Aportes INSSJyP;Contribuciones INSSJyP;Aportes obra social;Contribuciones obra social;Aportes FSR;Contribuciones FSR;Aportes RENATEA;Contribuciones RENATEA;Contribuciones AAFF;Contribuciones FNE;Contribuciones LRT;Aportes diferenciales;Aportes especiales
110000;Sueldo;0000000103;Dias Faltas Injustificadas;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;0000000027;Dia empleado de comercio;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;0000000105;Faltas Injustificadas;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;0000000106;Falta Injustificada;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;0000000011;Presentismo;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;0000000001;Sueldo mensual;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
120000;Sueldo anual complementario;0000000041;Sueldo Anual Complementario;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
120003;SAC proporcional;0000000042;Sueldo Anual Complementario Proporcional;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
130001;Horas extras al 50 %;0000000021;Horas extras 50% (s/sueldo);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
130001;Horas extras al 50 %;0000000017;Horas extras 50% (s/valor hora);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
130002;Horas extras al 100 %;0000000022;Horas extras 100% (s/sueldo);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
151000;Adelanto vacacional - De uso libre;0000000051;Vacaciones Gozadas;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
160001;Adicional por antiguedad;0000000004;Antiguedad (Importe);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
160001;Adicional por antiguedad;0000000003;Antiguedad (%);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
161000;Adicionales - De uso libre;0000000007;Falta Justificada;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
170000;Gratificaciones y/o Premios;0000000019;Presentismo;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
170000;Gratificaciones y/o Premios;0000000009;Presentismo;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
520012;Vacaciones no gozadas;0000000401;Vacaciones no Gozadas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
520014;Indemización por despido;0000000406;Indemnizacion por despido;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
520015;Indemización sustitutiva del preaviso;0000000403;Preaviso;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
520016;Integración mes de despido;0000000407;Integracion Mes Despido;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
520017;SAC sobre integración o preaviso;0000000408;SAC s/ Integracion o Preaviso;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
520018;SAC sobre vacaciones no gozadas;0000000402;S.A.C. s/ Vacaciones no Gozadas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
540000;Incrementos no remunerativos (con aportes y contribuciones OS);0000000411;Aumento no Rem;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;
540000;Incrementos no remunerativos (con aportes y contribuciones OS);0000000413;Antig&#252;edad - No Remunerativo;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;
541000;Incrementos no remunerativos (con aportes y contribuciones OS) - De uso libre;0000000412;Decreto 841/2022;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;
541000;Incrementos no remunerativos (con aportes y contribuciones OS) - De uso libre;0000000414;Presentismo - No Remunerativo;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;
551000;Importes no remunerativos especiales - De uso libre;0000000415;Premio Adicional;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810000;Sistema previsional;0000000201;Jubilacion;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810001;INSSJyP;0000000202;Ley 19032;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;0000000203;Obra Social;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810002;Obra Social;0000000502;Acuerdos Obra Social;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810004;Cuota Sindical;0000000206;SEC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
810004;Cuota Sindical;0000000501;Acuerdo Sindicato;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
821000;Otros descuentos - De uso libre;0000000511;Obra social;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
821000;Otros descuentos - De uso libre;0000000207;FAECYS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
821000;Otros descuentos - De uso libre;0000000211;Aporte Solidario Osecac;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
821000;Otros descuentos - De uso libre;0000000512;FAECYS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
821000;Otros descuentos - De uso libre;0000000209;FAECYS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
